Entidad,Municipio,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,mean_ann,std_ann,max_ann,min_ann,sum_all,trend_slope,mean_last3,growth_last,cluster,risk_zone
AGUASCALIENTES,AGUASCALIENTES,1779.0,2830.0,3075.0,2758.0,1924.0,1335.0,1002.0,1072.0,1090.0,1057.0,773.0,1699.5454545454545,797.8946573937694,3075.0,773.0,25040.440111939224,-203.37272727272733,973.3333333333334,0.7941780821917808,4,3
AGUASCALIENTES,ASIENTOS,11.0,25.0,24.0,21.0,17.0,19.0,29.0,19.0,31.0,39.0,18.0,23.0,7.397788367294155,39.0,7.397788367294155,329.7955767345883,1.090909090909091,29.333333333333332,0.6136363636363636,0,2
AGUASCALIENTES,CALVILLO,17.0,31.0,76.0,49.0,33.0,17.0,16.0,32.0,32.0,28.0,10.0,31.0,17.637769391023035,76.0,10.0,475.637769391023,-2.0909090909090917,23.333333333333332,0.4285714285714286,0,2
AGUASCALIENTES,COSIO,9.0,3.0,11.0,13.0,10.0,6.0,4.0,15.0,21.0,18.0,11.0,11.0,5.325752187591567,21.0,3.0,161.32575218759158,0.8909090909090912,16.666666666666668,0.6599999999999999,0,2
AGUASCALIENTES,EL LLANO,3.0,11.0,18.0,8.0,8.0,15.0,16.0,18.0,9.0,25.0,2.0,12.090909090909092,6.666804406290583,25.0,2.0,178.7577134971997,0.4727272727272729,12.0,0.16666666666666666,0,2
AGUASCALIENTES,JESUS MARIA,76.0,88.0,209.0,264.0,223.0,111.0,146.0,200.0,184.0,268.0,143.0,173.8181818181818,63.28265334889201,268.0,63.28265334889201,2480.383488515966,7.0454545454545485,198.33333333333334,0.7210084033613445,0,2
AGUASCALIENTES,PABELLON DE ARTEAGA,18.0,13.0,49.0,33.0,40.0,26.0,17.0,39.0,33.0,47.0,28.0,31.181818181818183,11.503502880096857,49.0,11.503502880096857,446.1888239420119,1.1545454545454552,36.0,0.7777777777777778,0,2
AGUASCALIENTES,RINCON DE ROMOS,27.0,16.0,87.0,55.0,62.0,75.0,60.0,83.0,116.0,116.0,45.0,67.45454545454545,30.781823551521843,116.0,16.0,972.2363690060673,5.736363636363639,92.33333333333333,0.4873646209386282,0,2
AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,49.0,91.0,67.0,103.0,72.0,54.0,34.0,45.0,38.0,57.0,29.0,58.09090909090909,22.309616945713408,103.0,22.309616945713408,844.7101429823359,-4.336363636363639,41.333333333333336,0.7016129032258064,0,2
AGUASCALIENTES,SAN JOSE DE GRACIA,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,6.0,2.4545454545454546,1.6160353486028343,6.0,0.0,37.07058080314829,0.4363636363636365,4.666666666666667,1.2857142857142856,3,1
AGUASCALIENTES,TEPEZALA,5.0,2.0,6.0,3.0,8.0,8.0,6.0,15.0,8.0,13.0,5.0,7.181818181818182,3.7372372347444482,15.0,2.0,106.91905541656263,0.6545454545454549,8.666666666666666,0.576923076923077,0,2
BAJA CALIFORNIA,ENSENADA,1477.0,2000.0,2548.0,2540.0,2135.0,1197.0,1278.0,1454.0,1288.0,1260.0,661.0,1621.6363636363637,573.7106132612461,2548.0,573.7106132612461,23155.057590158856,-125.90000000000003,1069.6666666666667,0.6179495169834839,4,3
BAJA CALIFORNIA,MEXICALI,5461.0,5335.0,4913.0,3566.0,2592.0,2382.0,2343.0,3050.0,2999.0,2722.0,1377.0,3340.0,1276.0386856489608,5461.0,1276.0386856489608,48093.07737129793,-344.5000000000001,2366.0,0.5819949281487743,2,4
BAJA CALIFORNIA,PLAYAS DE ROSARITO,507.0,602.0,959.0,811.0,798.0,613.0,743.0,638.0,497.0,432.0,316.0,628.7272727272727,179.32504307647653,959.0,179.32504307647653,8862.377358880227,-31.10909090909092,415.0,0.7614457831325301,0,2
BAJA CALIFORNIA,SAN FELIPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,21.0,30.0,9.0,8.727272727272727,13.073852524589327,36.0,0.0,153.80112525186206,2.7272727272727284,20.0,0.45,0,2
BAJA CALIFORNIA,SAN QUINTIN,0.0,0.0,0.0,0.0,0.0,0.0,65.0,60.0,60.0,50.0,42.0,25.181818181818183,28.14513741893222,65.0,0.0,395.3269556007504,7.0454545454545485,50.666666666666664,0.8289473684210527,0,2
BAJA CALIFORNIA,TECATE,464.0,694.0,507.0,488.0,556.0,277.0,268.0,254.0,276.0,182.0,111.0,370.6363636363636,171.85261800173305,694.0,111.0,5424.488981638097,-47.83636363636366,189.66666666666666,0.5852372583479789,0,2
BAJA CALIFORNIA,TIJUANA,6229.0,7997.0,11373.0,8701.0,7914.0,5892.0,6762.0,6861.0,6422.0,6302.0,3723.0,7106.909090909091,1838.435523360479,11373.0,1838.435523360479,100332.78013763003,-354.50000000000017,5482.333333333333,0.6790904116252204,2,4
BAJA CALIFORNIA SUR,COMONDU,65.0,92.0,115.0,74.0,69.0,31.0,15.0,27.0,26.0,27.0,10.0,50.09090909090909,32.98885361466684,115.0,10.0,759.079762705576,-8.63636363636364,21.0,0.47619047619047616,0,2
BAJA CALIFORNIA SUR,LA PAZ,767.0,1241.0,615.0,505.0,388.0,400.0,273.0,251.0,299.0,214.0,165.0,465.27272727272725,300.1287877831754,1241.0,165.0,7289.401515055903,-78.99090909090911,226.0,0.7300884955752213,4,3
BAJA CALIFORNIA SUR,LORETO,11.0,7.0,17.0,14.0,7.0,4.0,1.0,9.0,7.0,14.0,7.0,8.909090909090908,4.50160669205089,17.0,1.0,129.4106976011418,-0.3454545454545455,9.333333333333334,0.75,0,2
BAJA CALIFORNIA SUR,LOS CABOS,328.0,468.0,648.0,645.0,347.0,259.0,235.0,254.0,244.0,258.0,184.0,351.8181818181818,156.1431849773663,648.0,156.1431849773663,5182.104551772914,-33.32727272727274,228.66666666666666,0.80466472303207,0,2
BAJA CALIFORNIA SUR,MULEGE,19.0,40.0,41.0,27.0,21.0,8.0,12.0,14.0,14.0,19.0,9.0,20.363636363636363,10.839932298285122,41.0,8.0,304.2035686619215,-2.272727272727274,14.0,0.6428571428571429,0,2
CAMPECHE,CALAKMUL,2.0,1.0,2.0,0.0,10.0,2.0,6.0,3.0,3.0,3.0,1.0,3.0,2.6628760937957834,10.0,0.0,48.66287609379578,0.07272727272727275,2.3333333333333335,0.42857142857142855,0,2
CAMPECHE,CALKINI,3.0,6.0,1.0,7.0,8.0,7.0,6.0,12.0,15.0,6.0,1.0,6.545454545454546,4.030872595890066,15.0,1.0,98.5763271413446,0.36363636363636354,7.333333333333333,0.13636363636363638,0,2
CAMPECHE,CAMPECHE,221.0,329.0,215.0,188.0,353.0,254.0,288.0,279.0,262.0,173.0,9.0,233.72727272727272,88.57569018958861,353.0,9.0,3255.3029629168614,-12.963636363636368,148.0,0.060810810810810814,0,2
CAMPECHE,CANDELARIA,7.0,20.0,11.0,4.0,22.0,14.0,24.0,18.0,14.0,5.0,1.0,12.727272727272727,7.42343842276131,24.0,1.0,185.15071115003403,-0.4636363636363638,6.666666666666667,0.15,0,2
CAMPECHE,CARMEN,47.0,289.0,198.0,184.0,135.0,47.0,54.0,65.0,120.0,40.0,8.0,107.9090909090909,82.20866415901621,289.0,8.0,1674.1177550681073,-15.854545454545462,56.0,0.14285714285714285,0,2
CAMPECHE,CHAMPOTON,21.0,24.0,26.0,16.0,23.0,24.0,23.0,42.0,35.0,22.0,5.0,23.727272727272727,8.985755485928411,42.0,5.0,340.71302821320114,-0.08181818181818179,20.666666666666668,0.24193548387096772,0,2
CAMPECHE,DZITBALCHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.36363636363636365,0.8813963377120598,3.0,0.0,8.245032701348423,0.15454545454545462,1.3333333333333333,0.75,0,2
CAMPECHE,ESCARCEGA,10.0,44.0,31.0,27.0,59.0,38.0,25.0,55.0,64.0,37.0,1.0,35.54545454545455,18.75373241087872,64.0,1.0,510.2991869563333,0.436363636363636,34.0,0.029411764705882353,0,2
CAMPECHE,HECELCHAKAN,0.0,0.0,1.0,1.0,6.0,1.0,1.0,8.0,6.0,5.0,3.0,2.909090909090909,2.7120788891229632,8.0,0.0,45.62116979821387,0.5363636363636367,4.666666666666667,0.6428571428571428,0,2
CAMPECHE,HOPELCHEN,0.0,0.0,2.0,1.0,8.0,1.0,7.0,2.0,4.0,0.0,0.0,2.272727272727273,2.7333266142496195,8.0,0.0,38.00605388697689,0.0636363636363636,1.3333333333333333,0.0,0,2
CAMPECHE,PALIZADA,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,1.044465935734187,3.0,0.0,16.044465935734188,0.1363636363636364,1.0,0.0,0,2
CAMPECHE,SEYBAPLAYA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,17.0,4.0,2.0,2.909090909090909,4.94431805123169,17.0,0.0,56.8534089603226,0.8454545454545459,7.666666666666667,0.2608695652173913,0,2
CAMPECHE,TENABO,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.36363636363636365,0.642824346533225,2.0,0.0,7.006460710169589,0.02727272727272727,0.3333333333333333,0.0,0,2
CHIAPAS,ACACOYAGUA,5.0,7.0,14.0,23.0,29.0,11.0,11.0,4.0,6.0,3.0,5.0,10.727272727272727,7.989662742807211,29.0,3.0,168.71693547007993,-0.872727272727273,4.666666666666667,1.0714285714285714,0,2
CHIAPAS,ACALA,3.0,4.0,7.0,3.0,1.0,9.0,6.0,6.0,4.0,2.0,2.0,4.2727272727272725,2.3390327873215653,9.0,1.0,63.61176006004884,-0.10000000000000005,2.6666666666666665,0.75,0,2
CHIAPAS,ACAPETAHUA,10.0,20.0,12.0,17.0,23.0,19.0,37.0,21.0,13.0,16.0,4.0,17.454545454545453,8.105706590966822,37.0,4.0,258.56025204551224,-0.1909090909090909,11.0,0.36363636363636365,0,2
CHIAPAS,ALDAMA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.18181818181818182,0.38569460791993504,1.0,0.0,3.5675127897381165,0.009090909090909092,0.3333333333333333,0.0,0,2
CHIAPAS,ALTAMIRANO,4.0,5.0,5.0,10.0,4.0,6.0,1.0,6.0,4.0,2.0,4.0,4.636363636363637,2.2268088570756164,10.0,1.0,68.86317249343927,-0.23636363636363644,3.3333333333333335,1.2,3,1
CHIAPAS,AMATAN,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.5454545454545454,0.7820295697311479,2.0,0.0,9.327484115185694,0.009090909090909087,0.6666666666666666,0.0,0,2
